time,actual,DA_forecast,IDA1_forecast,IDA2_forecast,IDA3_forecast,window_start
2023-01-01 00:00:00,0.0,62.850719208354576,10.926197912047542,3.3703259878518,-3.314049159702961,2023-01-01
2023-01-01 01:00:00,0.0,55.0417511173006,10.239158601143004,6.580927442834735,-2.9339222713228423,2023-01-01
2023-01-01 02:00:00,0.0,56.35692935627024,11.900244377231957,3.936152040620442,-2.731330097952906,2023-01-01
2023-01-01 03:00:00,0.0,54.47474342165943,15.07844671131724,4.623984271381033,-2.734553947939247,2023-01-01
2023-01-01 04:00:00,0.0,59.64155359101137,22.521016055587324,5.3485011818142425,-2.404431380520009,2023-01-01
2023-01-01 05:00:00,0.0,63.16266897568045,21.535907902250983,4.4250152595757015,-2.2640465543253043,2023-01-01
2023-01-01 06:00:00,0.0,54.9344570773403,22.09135440108417,4.177269666157002,-2.3279086476318582,2023-01-01
2023-01-01 07:00:00,0.0,55.287331736728426,24.0275588687062,6.491620824782899,-0.5654181839792329,2023-01-01
2023-01-01 08:00:00,0.0,49.60710056223641,23.75863391465592,3.9794581219827023,-1.3584696449853195,2023-01-01
2023-01-01 09:00:00,0.0,41.82037935020455,17.348919274704315,5.57945080214526,-1.7514164240327688,2023-01-01
2023-01-01 10:00:00,0.0,43.34324414816504,7.025511410511058,4.499943024008218,-2.0193596323023684,2023-01-01
2023-01-01 11:00:00,0.0,43.4952588833078,10.024506081232488,6.521197132030721,-1.350181476089077,2023-01-01
2023-01-01 12:00:00,0.0,43.90021339967698,10.994618577868806,4.922393614816542,1.220941037847382,2023-01-01
2023-01-01 13:00:00,0.1,41.51732482638937,9.912081355485128,8.24401112790892,0.9165988731894288,2023-01-01
2023-01-01 14:00:00,0.1,36.56512483272637,10.83221622610995,8.102789532573837,1.2674921363369975,2023-01-01
2023-01-01 15:00:00,0.01,41.49583572937184,11.077530685125057,9.570890308012366,-0.1719224536566628,2023-01-01
2023-01-01 16:00:00,1.0,50.26751955093477,10.853481437693231,8.491714528183053,-0.1439361667286647,2023-01-01
2023-01-01 17:00:00,4.16,52.81658976539223,11.948548260313627,10.731362491003525,1.1262162051776272,2023-01-01
2023-01-01 18:00:00,15.1,59.7878353712646,17.287462379616187,10.367097611462157,2.636276324234828,2023-01-01
2023-01-01 19:00:00,19.51,65.13552654556662,12.225867487271556,16.31276394014469,6.399107529646713,2023-01-01
2023-01-01 20:00:00,24.61,71.5397940717786,24.91157591930008,18.536664441244795,19.18532605639909,2023-01-01
2023-01-01 21:00:00,40.07,66.44128739342091,38.45057056868043,23.31826424775668,19.546981936055005,2023-01-01
2023-01-01 22:00:00,40.07,60.67454080764756,39.69628516991574,16.46706249995782,14.934389800686787,2023-01-01
2023-01-01 23:00:00,16.0,63.522562259785325,18.526984010797293,11.278755359567612,2.557367540706906,2023-01-01
2023-01-02 00:00:00,61.38,30.21127710666299,51.64849101601179,58.33967604964072,3.9820559909486377,2023-01-02
2023-01-02 01:00:00,42.17,27.43526643910868,36.01159983157416,38.83505632607663,2.9619308014588626,2023-01-02
2023-01-02 02:00:00,42.0,24.86502897436729,37.67086461923725,33.631658893657004,2.8758649476120013,2023-01-02
2023-01-02 03:00:00,42.07,27.20615703590468,36.04024440312884,31.35659323797725,2.8894716015553144,2023-01-02
2023-01-02 04:00:00,42.17,36.11178885710783,34.29881228161679,30.895040827166326,3.273387678524273,2023-01-02
2023-01-02 05:00:00,63.22,51.85156984949385,48.84018742470212,53.98705521543181,4.49266866722725,2023-01-02
2023-01-02 06:00:00,85.0,67.07038630881759,79.02356191835331,72.46214627614154,3.8112642755301778,2023-01-02
2023-01-02 07:00:00,105.36,83.21238481431779,100.55201496983614,90.0242051073692,-0.9631888520880948,2023-01-02
2023-01-02 08:00:00,131.0,98.79555461357349,125.7737044451595,124.09509190175427,1.0445958441391667,2023-01-02
2023-01-02 09:00:00,131.58,98.12262604595868,128.91526905614617,124.25950721088344,7.04744733568387,2023-01-02
2023-01-02 10:00:00,127.0,97.29852987459608,127.28709778744216,118.49397035975386,6.524131596019984,2023-01-02
2023-01-02 11:00:00,126.07,95.6350586242462,130.0685281156109,117.80761468124088,5.995841003005822,2023-01-02
2023-01-02 12:00:00,127.0,96.39087323934402,121.3761560476508,115.60696115606794,100.19506375506974,2023-01-02
2023-01-02 13:00:00,130.0,95.05602008939778,121.2328990157835,118.4958674458706,116.81432097777852,2023-01-02
2023-01-02 14:00:00,131.0,99.24012685186916,124.89424823387434,117.75238258793112,123.4618257394876,2023-01-02
2023-01-02 15:00:00,128.0,105.1482588894492,122.4743553511089,117.2260248876516,122.30229267937872,2023-01-02
2023-01-02 16:00:00,131.88,120.7369898898862,125.54909054064557,125.02313780637915,124.49564588238624,2023-01-02
2023-01-02 17:00:00,160.0,128.54455033640815,152.0778729056772,159.1295270454966,141.24464477154268,2023-01-02
2023-01-02 18:00:00,174.74,145.26599282627814,164.92238361009854,175.21781008367847,154.02563893110988,2023-01-02
2023-01-02 19:00:00,165.76,150.81045522751847,159.76484095812756,163.96666205311993,160.76099322395396,2023-01-02
2023-01-02 20:00:00,153.0,149.67946394241778,148.9566259745901,146.69699887290443,142.91994899458555,2023-01-02
2023-01-02 21:00:00,141.67,139.62143901889743,135.32187957654918,133.80906053882052,126.96032196421478,2023-01-02
2023-01-02 22:00:00,134.91,134.29527900319434,125.416659742304,121.1355868976812,116.6741086647142,2023-01-02
2023-01-02 23:00:00,124.22,122.79500620667804,118.8942158673264,108.89072027399212,118.069837072463,2023-01-02
2023-01-03 00:00:00,130.01,124.67425319069405,125.54414055580772,119.15918238318622,2.688339562304918,2023-01-03
2023-01-03 01:00:00,120.0,115.96358368875283,113.24598336503745,114.9569810449098,1.252752356663251,2023-01-03
2023-01-03 02:00:00,118.76,116.4953838265248,111.67463509779186,113.34596590861074,1.1375081931065123,2023-01-03
2023-01-03 03:00:00,115.0,115.62980723231983,105.93038132524345,111.99356335011,0.9164358669358704,2023-01-03
2023-01-03 04:00:00,113.63,110.96974498985593,106.1482337505469,111.25507084031504,0.994254142037846,2023-01-03
2023-01-03 05:00:00,116.27,113.13634080626991,108.538615086755,114.27292657061749,1.128618863122881,2023-01-03
2023-01-03 06:00:00,138.92,124.5165371608404,128.93288886896738,131.7732962048562,1.610024760541478,2023-01-03
2023-01-03 07:00:00,155.59,142.3388194574642,149.15234374387234,152.51209831825963,2.167553857563945,2023-01-03
2023-01-03 08:00:00,169.17,153.67321387605833,163.56206386542675,158.348947928877,1.751953473864006,2023-01-03
2023-01-03 09:00:00,171.18,148.83849284140146,168.6387551065795,168.43162814438014,1.0161577193778584,2023-01-03
2023-01-03 10:00:00,154.9,145.57534985727483,151.78457779974028,156.31730284283788,1.0829423181836262,2023-01-03
2023-01-03 11:00:00,146.71,136.8782784174343,146.9136062171629,140.81767975452195,2.4487429098093827,2023-01-03
2023-01-03 12:00:00,133.33,132.7771240947557,131.20851575618795,126.37821522532208,119.81043963804342,2023-01-03
2023-01-03 13:00:00,130.0,127.92966462201828,128.03453349425132,121.14581096142872,118.91168111209296,2023-01-03
2023-01-03 14:00:00,126.0,126.15771175667057,125.84347307713244,118.70669668526784,117.92764032554553,2023-01-03
2023-01-03 15:00:00,120.0,130.98937714303344,114.73695641141124,120.0412848062887,111.09719315199315,2023-01-03
2023-01-03 16:00:00,135.56,145.17933462754917,132.53149566396178,131.36980061782867,117.00958089189083,2023-01-03
2023-01-03 17:00:00,156.3,160.97164095996374,154.8193392009254,162.94917274027165,146.1683102697167,2023-01-03
2023-01-03 18:00:00,169.01,172.22049177717813,167.60046364921044,169.24460330510485,151.57456142438406,2023-01-03
2023-01-03 19:00:00,160.99,183.7808745162182,161.04988405443825,163.19116569022714,151.318343315439,2023-01-03
2023-01-03 20:00:00,152.1,180.2800414051225,151.03860967566715,147.26284099662007,144.8302316869065,2023-01-03
2023-01-03 21:00:00,149.92,165.74985464604129,147.90910812500823,145.40858826206852,139.64011059117428,2023-01-03
2023-01-03 22:00:00,132.53,147.370978267866,130.78776234409622,121.29164446479028,125.01223725346529,2023-01-03
2023-01-03 23:00:00,115.0,136.4446598613908,111.48139438265513,107.68040237992209,116.90508862565548,2023-01-03
2023-01-04 00:00:00,119.99,133.00985444120522,113.2826119484394,83.05334161066757,0.2615602807612731,2023-01-04
2023-01-04 01:00:00,100.0,131.67128255774,97.01971672658834,88.94124191620142,-0.957802013050994,2023-01-04
2023-01-04 02:00:00,90.23,122.0035906472716,90.0681398582866,86.6802904153467,-0.9551371871595222,2023-01-04
2023-01-04 03:00:00,84.2,120.24683353652388,80.9751883820669,79.50344277831397,-0.0545617765172892,2023-01-04
2023-01-04 04:00:00,80.23,121.3131525057164,79.743396599743,78.09490063457625,-0.9198389989123684,2023-01-04
2023-01-04 05:00:00,87.31,125.63818641598552,81.26757682006968,81.01938491558201,-0.4734752030629465,2023-01-04
2023-01-04 06:00:00,109.0,134.8199297501872,107.43277860733002,89.42629820574041,-1.0835554426790708,2023-01-04
